head	rel	col	lcm	sense1	sense2	sense3	sense4	sense5	sense6	sense7	sense8	sense9	sense10	pos	text
band-n	... from "band-n"	music-n	music from bands	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.sx	a10.s1	3345430009	A select musical performing ensemble of 18 to 25 members devoted to performing all styles and periods of jazz music from big <band> to modern jazz; activities include at least 2 performances each semester.
band-n	... from "band-n"	musician-n	musicians from various bands	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	3551146837	Velvet Revolver (VR) is a hard rock band made up of musicians from other popular <bands>.
band-n	... from "band-n"	song-n	songs from bands	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	3012883910	There are songs from <bands> such as Motley Crue, ... Read review
band-n	... from "band-n"	track-n	tracks from the bands	a1.s1	a2.s10	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1852116856	"This demonstrates that there is a strong demand for services that mix the way in which consumers access music, from downloading the latest chart hits and ringtones to sharing tracks from unsigned <bands>.
band-n	... in "band-n"	bass-n	bass in a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1193416825	Eric: from Massachusetts, enrolled in a college music-industry program, plays bass in a <band> "for fun."
band-n	... in "band-n"	drummer-n	drummer in the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1606226384	dozie = stupid or stupified / pipie = pipe major, the boss of a bagpipe band fey = doomed to die, or more generally behaving oddly [originally included the idea of being under the influence of fairies or spirits] he will-nae come roon for his vino the day = he won't come round for his wine today unco = strange, odd, spooky / bricht = bright / chaulmers = chambers / shaw = thicket or wood Jock = slang for a Scotsman / kyles = straits / puir bliddy swaddies = poor bloody swaddies (privates) smoor = cover, smother / wiles = wiles (as in guiles) or wilds drummie = drum major, boss of the drummers in a pipe <band> / ava = at all braw = brave, fine, splendid in dress / beezed himself up for a photy = slicked himself up for a photo shieling = shepherd's hut / ha' = hall / a' = all / shebeens = drinking dives, often illegal ones bothies = farm workers quarters, a term with strong particular associations in Scottish folk song, b/c of a genre of singing/songs ("bothy songs") that flourished among farm workers in the 18th & 19th centuries / drub = scold or beat
band-n	... in "band-n"	frequency-n	frequencies in this band	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	2428161310	Different category of service: in Armenia, Azerbaijan, Belarus, Georgia, Kazakstan, Moldova, Kyrgyzstan, Russia, Tajikistan, Turkmenistan, Ukraine and the Black Sea areas of Bulgaria and Romania, the allocation of the band 315 - 325 kHz to the maritime radionavigation service is on a primary basis under the condition that in the Baltic Sea area, the assignment of frequencies in this <band> to new stations in the maritime or aeronautical radionavigation services shall be subject to prior consultation between the administrations concerned.
band-n	... in "band-n"	guitar-n	guitar in a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	258264692	But once the tour was over, they invited me to play guitar in the <band> again.
band-n	... in "band-n"	guy-n	the guys in the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.sx	a9.s1	a10.s1	1680638112	She and the interns bolt down to the E.R., where the ambulance unloads the producers' idea of what a guy in a <band> looks like.
band-n	... in "band-n"	musician-n	musicians in the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	973123766	God blessed them and said, Be fruitful and multiply and fill the musicians in the <band>.
band-n	... in "band-n"	operate-v	operating in the band	a1.s2	a2.s2	a3.s6	a4.s2	a5.sx	a6.s2	a7.s3	a8.sx	a9.sx	a10.s2	635606733	A second broad area of concern raised by the study is the use of devices operating in the <band> on a licence exempt basis, as part of a public telecommunication system.
band-n	... in "band-n"	play-v	playing in a band	a1.s9	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1040123610	Because, as Turner puts it, "Everybody has been too untogether to be together enough to be part of the music business" nobody in Hawkwind ever played in a <band> before and, ever since the early days they've never been too hung up on musical technique.
band-n	... in "band-n"	singer-n	singer in the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	150480655	NH: He's a singer, and he has a band, no he doesn't have a band, he's a singer in a <band> called Fifi
band-n	... in "band-n"	spectrum-n	spectrum in the 700 MHz band	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.sx	a8.s2	a9.s2	a10.s2	2159861788	EN 60] However, there are several areas of concern that DOE indicates should be addressed regarding the reallocation of spectrum in the 1710-1850 MHz <band>:
band-n	... into "band-n"	group-v	grouped into bands	a1.s2	a2.s8	a3.s11	a4.s5	a5.sx	a6.s8	a7.s3	a8.sx	a9.sx	a10.s4	2862531963	Exhibits 0.7 and 0.8 below show the data we were able to collect on wholesale services in Germany (QSC, a newentrant), the UK (BT) and the USA (Covad, a newentrant) arranged in order of the monthly charge and grouped into two <bands> (for ease of analysis): up to and including 512kbit/s; over 512kbit/s to 2Mbit/s. The downstream bandwidth of each service is superimposed on the first series and the combined measure of downstream and upstream bandwidth is superimposed on the second.
band-n	... is a "band-n"	Band-n	Band is a band	a1.s6	a2.s1	a3.s5	a4.s1	a5.sx	a6.s1	a7.sx	a8.sx	a9.sx	a10.sx	2908721116	The Edgar Winter Band is a rock <band> founded by Edgar Winter dating back to the 1970's.
band-n	... is a "band-n"	Beatles-n	Beatles were an English rock band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	893117910	The Beatles are arguably the most famous <band> in rock and roll history.
band-n	... is a "band-n"	Hawkwind-n	Hawkwind are a band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	59519138	If some twat like Frank Bough hadn't boomed out and drowned the tape, Brock would have gone on to explain that Hawkwind is essentially a good-time <band>, programmed to rock'n'roll until it drops.
band-n	... is a "band-n"	Radiohead-n	Radiohead is that band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2489687859	But with the price of concert tickets these days, I'll stick to my other jam bands (even if Radiohead isn't technically a jam <band>) for my live music consumption.
band-n	... is a "band-n"	U2-n	U2 is my favourite band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2587616398	For many of us U2 is the <band> we hate to love.
band-n	... is a "band-n"	band-n	bands are bands	a1.s6	a2.sx	a3.s5	a4.s1	a5.sx	a6.s1	a7.sx	a8.sx	a9.sx	a10.sx	2045401274	The 162-174 MHz band is its primary <band> for land mobile radio (LMR) use to successfully meet its growing mission requirements.
band-n	... is a "band-n"	zeppelin-n	Zeppelin was the most popular band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	3289443332	Eminem is the rapper known to people all over the world, just as Zeppelin was the rock <band> that everyone knew.
band-n	... of "band-n"	battle-n	Battle of the Bands	a1.s1	a2.s1	a3.s1	a4.s3	a5.s1	a6.s1	a7.sx	a8.s1	a9.sx	a10.s1	3078662323	I am probably going to write a new novel about the Greatest American Band, which will feature a Hebrew-speaking NYU student musician will does not use vowels, and a showdown between good versus evil: a battle of the <bands>, if you will.
band-n	... of "band-n"	fan-n	fans of the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	505928361	I wouldn't normally mind but the guys in the shop were all fans of the <band> from the heady days and were genuinly interested in getting hold of it, but there was no record on the computer or on the stock lists or on anything!!!
band-n	... of "band-n"	music-n	music of the band	a1.s1	a2.s1	a3.s1	a4.s3	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1796760218	In June I was delighted to witness an example of how well children respond to the music of a lively <band> when I went to watch the day of dance at Andover.
band-n	... of "band-n"	singer-n	singer of the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	489062773	Micki's first band experience was when she was approached by producer/manager/arranger Kim Fowley to be the lead singer of an all-female hard rock <band> he was putting together - The RUNAWAYS.
band-n	... on "band-n"	signal-n	signals on the band	a1.s2	a2.s2	a3.s2	a4.s2	a5.s1	a6.s2	a7.s2	a8.sx	a9.sx	a10.s2	3164909666	(c) NTIA and the federal agencies developed complex rules to permit the accommodation of UWB technology by overlaying low level signals on federal restricted <bands>, which had been reserved for science and critical public safety uses.
band-n	... to "band-n"	band-n	band to the 7/8 GHz band	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	3539466554	And from an easily forgotten boy band to an all-conquering girl <band>.
band-n	... to "band-n"	dance-v	dancing to a live band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	58825043	In the fifties, you couldn't get a license to play in the high schools and junior highsyou could only dance to horn <bands>.
band-n	... up "band-n"	line-n	With this new line up the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.sx	a10.s1	2795559023	With this new line up the <band> performed around the local area of L.
band-n	... with "band-n"	album-n	album with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	58539028	Its Simons third album with the <band>, and the one hes most happy with.
band-n	... with "band-n"	gig-n	gig with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	1211164863	There's also a sequence of interview segments and little on-the-road-tales, and even some early concert footage including a brief excerpt from Muireann's first ever gig with the <band>!
band-n	... with "band-n"	perform-v	performed with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	2788250487	In addition to making her own music, Neko records and performs with Canadian pop <band> the New Pornographers . After wrapping up her current tour , Neko will go out on tour with the New Pornographers in support of their new album.
band-n	... with "band-n"	play-v	playing with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	2690154339	Besides, studying guitar he played with a reasonable famous local Latin-rock <band> and also tried his luck at acting.
band-n	... with "band-n"	record-v	recorded with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.sx	a10.s1	181363307	Watching Charlton, reproducing, recording with my <band>.
band-n	... with "band-n"	red-j	painted red with one white horizontal band .	a1.s7	a2.s3	a3.s7	a4.s4	a5.s5	a6.s5	a7.sx	a8.s5	a9.s3	a10.s5	3278171374	Hull painted red with a white horizontal <band>.
band-n	... with "band-n"	show-n	shows with bands	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	253637218	2004 *AM Stereo has played shows with <bands> as diverse as The Hiss, Tegan and Sara, Tommy Stinson, and the Democratic Gain Convention Jumpoff Party with Lauryn Hill and Mission Of Burma. *AM Stereo works to Complete second full length release "Chinese Democracy" to be released on Can't Finda Label.
band-n	... with "band-n"	sing-v	singing with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	3172743555	At 16 years of age, Denny was invited to sing with the <band>, but first his parents had to be convinced.
band-n	... with "band-n"	stage-n	on stage with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1991997908	What you missed about Pharaoh's is that every Friday and Saturday night that I have been there, the owner gets up on stage with his 3 piece <band> and plays incredible rock and blues- Hendrix, BB King, etc., for several hours.
band-n	... with "band-n"	tour-n	tour with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	2741599881	When we get to go on tour with our <band>, which is like a live band, that's equally satisfying but in a different way.
band-n	... with "band-n"	tour-v	touring with the band	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	2992233441	Later "Phoenix" chose to leave the band to tour with another <band>, called"The Snax".
band-n	... with "band-n"	white-j	white with one red horizontal band	a1.s7	a2.s3	a3.s7	a4.s4	a5.s5	a6.s9	a7.sx	a8.s5	a9.s3	a10.s5	2195223912	Lighthouse painted white with two horizontal red <bands> on the keeper's house; lantern dome is gray metallic.
band-n	... within "band-n"	frequency-n	frequencies within the 156-162 MHz band	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	1716860727	It is provided with facilities for operation as an airborne radar beacon (rooster) on any fixed frequency within the G <band>.
band-n	... within "band-n"	operate-v	operate within the band	a1.s2	a2.s2	a3.s2	a4.s1	a5.sx	a6.s2	a7.s2	a8.sx	a9.sx	a10.s2	1757220312	RF sealers generally operate within the <band> of frequencies from 10 to 70 MHz (a megahertz (MHz) is one million cycles per second), although most of the sealers operate at nominal frequencies from 13 to 40 MHz.
band-n	adjective predicates of "band-n"	tight-j	band was tight	a1.s3	a2.sx	a3.s6	a4.s1	a5.s1	a6.sx	a7.s4	a8.sx	a9.s3	a10.sx	52302681	The <band> are even tighter than last week, in fact they probably couldn't get any tighter than this.
band-n	band-n above ...	GHz-n	bands above 40 GHz	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.sx	a8.s2	a9.s2	a10.s2	2871823906	Nevertheless, spectrum requirements for the Intelligent Transportation System and for wide-band video could be satisfied in <bands> above 3 GHz.
band-n	band-n after ...	band-n	band after band	a1.s2	a2.s1	a3.s6	a4.s1	a5.sx	a6.s1	a7.sx	a8.sx	a9.sx	a10.s1	2981860038	Gold stocks ended those trading ranges and began new bull runs once the XAU broke above its 200-day bollinger <band> after the band had been growing narrow for the previous few months, and once the XAU/gld ratio broke above a downtrend resistance line that had kept it locked down for at least eight months.
band-n	band-n and/or ...	MHz-n	MHz and 406.1-420 MHz bands	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	2118308692	During large exercises, the 1710-1850 MHz and other government <bands> are at times insufficient to satisfy the requirements for these exercises.
band-n	band-n and/or ...	artist-n	bands and artists	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	672325901	This fact may be merely incidental, but it's intriguing to think of these <bands> and artists as some of the more prominent bearers of Dylan's legacy.
band-n	band-n and/or ...	band-n	band , the band	a1.s6	a2.s1	a3.sx	a4.s1	a5.sx	a6.s1	a7.sx	a8.sx	a9.sx	a10.sx	863414322	Also expect to see a wide silver or gold band before the first value <band> and a thin tolerance band at the end.
band-n	band-n and/or ...	orchestra-n	band and orchestra	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2145611500	By 1939, the small group had turned into a full-fledged big <band>, The Jay McShann Orchestra.
band-n	band-n around ...	arm-n	bands around their arms	a1.s3	a2.s6	a3.s3	a4.s4	a5.s3	a6.s6	a7.s4	a8.s3	a9.s3	a10.s3	745924417	THE WITNESS: Then there was a sound of a siren, and some sort of truck came up from behind us, and some marshals, some mobilization marshals with <bands> around their arms, motioned people to move to either side of the street and to let the truck through.
band-n	band-n around ...	base-n	band around the base of the	a1.s7	a2.s6	a3.s9	a4.s4	a5.sx	a6.s6	a7.s4	a8.sx	a9.sx	a10.s3	378962189	His cock ached, the leather <band> around the base and around each ball constricted, pulling him tight, making it so much better . The blindfold he wore was a one-time added extra and it only made things hotter.
band-n	band-n around ...	chest-n	band around his chest	a1.s3	a2.s6	a3.s3	a4.s4	a5.s3	a6.sx	a7.s4	a8.s3	a9.s3	a10.s3	90312723	The <bands> around her chest loosened.
band-n	band-n around ...	head-n	band around the head	a1.s3	a2.s6	a3.s3	a4.s4	a5.s3	a6.s6	a7.s4	a8.s3	a9.s3	a10.s3	3449310055	I see you have been looking at these two golden wings on the <band> round my head.
band-n	band-n around ...	top-n	band around the top of the	a1.s7	a2.s6	a3.s9	a4.s4	a5.sx	a6.s6	a7.s4	a8.sx	a9.sx	a10.s3	591740339	I keep it in one of my grey school socks with an elastic <band> round the top, and although this keeps it fairly secure it doesn't stop the bugger hopping, and when I left my bedroom door open it must have hopped out, down the stairs and out through the front door before I knew anything about it.
band-n	band-n around ...	wrist-n	band around your wrist	a1.s3	a2.s6	a3.s3	a4.s4	a5.s3	a6.s6	a7.s4	a8.s3	a9.s3	a10.s3	982956061	He hid these notes in his sleeves and tied rubber <bands> around his wrists.
band-n	band-n as ...	drummer-n	band as a drummer	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	2923006567	Later, Jonny Quinn, joined with the <band> as the drummer.
band-n	band-n at ...	GHz-n	band at 2.4 GHz	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	1195286963	EN355] Further, Hubbard believes that technology will make it possible to accommodate HDTV by DBS at 12.2-12.7 GHz and that the <bands> at 17.3-17.8 GHz should be regarded as "expansion" bands should the 12 GHz band become saturated.[
band-n	band-n at ...	gig-n	band at a gig	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	2398638454	The personal memory of buying a CD off the <band> at an early gig definitely means more to be than that impersonal mouse click.
band-n	band-n at ...	kD-n	band at 140 kD	a1.s2	a2.s2	a3.s8	a4.s2	a5.s2	a6.s7	a7.s2	a8.s6	a9.s2	a10.s2	1139706729	AQP-1: A major <band> at 28 kD and discrete bands from 35 to 50 kD are identified in all rats; the bands are identical to those seen in kidney cortex (lane C) and correspond to the unglycosylated (28 kD) and glycosylated (35 to 50 kD) AQP-1 isoforms. iNOS: The 130-kD band corresponding to iNOS is identified with variable intensity in the peritoneum of rats with peritonitis.
band-n	band-n below ...	GHz-n	bands below 3 GHz	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	1227652858	However, given the current congested state of the spectrum, especially in some frequency <bands> below 5 GHz, the ability to accommodate new spectrum-dependent technologies is limited for both Federal and non-Federal users.
band-n	band-n below ...	MHz-n	bands below 512 MHz .	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	1785361675	In contrast to <bands> below 1400 MHz and above 1727 MHz, where one finds powerful aircraft acquisition radars with EIRP ranging from 107 to more than 10 9 W, terrestrial transmitters in this band are primarily low-power.
band-n	band-n below ...	gallery-n	red horizontal band below the gallery	a1.s7	a2.s3	a3.s7	a4.s4	a5.s5	a6.s5	a7.sx	a8.s5	a9.s3	a10.s5	2641035130	Tower painted white with a red horizontal <band> below the gallery.
band-n	band-n between ...	MHz-n	Bands Between 28 MHz	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	152869364	taking into account Resolutions 729 (WRC 97) , 351 (WRC 03) and 544 (WRC 03) , to review the allocations to all services in the HF <bands> between 4 MHz and 10 MHz, excluding those allocations to services in the frequency range 7 000-7 200 kHz and those bands whose allotment plans are in Appendices 25 , 26 and 27 and whose channeling arrangements are in Appendix 17 , taking account of the impact of new modulation techniques, adapting control techniques and the spectrum requirements for HF broadcasting;
band-n	band-n for ...	reallocation-n	MHz band for reallocation	a1.s5	a2.s2	a3.s2	a4.s2	a5.s2	a6.s2	a7.s2	a8.s2	a9.s2	a10.s2	3098142997	Since WARC-79, ITU conferences have addressed only selected <bands> for reallocation.
band-n	band-n from ...	80-n	bands from the 80's	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	1741206468	I hear some of the hair <bands> from the 80's are resurging...there's your market...have at it!
band-n	band-n from ...	Angeles-n	rock band from Los Angeles , California	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1757552816	Inspired by his father's love of jazz, he took up the guitar when he was twelve ; Godsmack are a cult-American Grammy-nominated heavy metal band from Massachusetts ; Blaqk Audio is an electronic project, created by and consisting of Davey Havok and Jade Puget, both members of the band AFI ; Shiny Toy Guns an American alternative rock <band> from Los Angeles, California.
band-n	band-n is a ...	band-n	bands are bands	a1.s6	a2.s1	a3.s5	a4.s1	a5.sx	a6.s1	a7.sx	a8.sx	a9.sx	a10.sx	3224428571	No, actually, the opening <band> was some band called Moving Units – who we were too busy drinking beer at the River Market Brewery to see.
band-n	band-n like ...	Coldplay-n	bands like Coldplay and	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	558817698	Not only would that have succeeded in avoiding us having to suffer "The Man Who", it would also have meant <bands> like Coldplay and Doves would have stayed playing spoons in the Dog & Chipmunk, and not being pushed as masters of melancholy-dripping balladry.
band-n	band-n like ...	Dead-n	bands like the Grateful Dead	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2984652154	Through a revolving lineup, the <band> like the Dead toured incessantly, working their way through clubs and theaters, building both a repertoire of new Weir compositions and reworked Dead songs as well as an original sound.
band-n	band-n like ...	Metallica-n	bands like Metallica and	a1.s1	a2.s1	a3.s1	a4.s3	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	3237952074	It contains all the classic Air Guitar tunes, from Queen and Deep Purple, to the more modern <bands> like Metallica and Weezer.
band-n	band-n like ...	Radiohead-n	bands like Radiohead	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	2634256855	I think its preference of what you like and many people that go to Bonnaroo are very open minded to <bands> like Radiohead and Beck.
band-n	band-n like ...	clash-n	bands like The Clash ,	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.sx	a8.s1	a9.s1	a10.s1	1430924836	It turned out that the Ramones where the band that started the punk rock revolution and paved the way for <bands> like the clash and the sex pistols at there own expense.
band-n	band-n like ...	jam-n	bands like Pearl Jam	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	a6.s1	a7.s1	a8.s1	a9.s1	a10.s1	1256763382	But the band -- which was perhaps unfairly obscured in a landscape dominated by <bands> like Pearl Jam, Smashing Pumpkins and Soundgarden -- definitely staked a claim in these Fillmore shows as one of the last of the classic rock bands.
band-n	band-n of ...	Indians-n	band of Indians	a1.s4	a2.s4	a3.s4	a4.s1	a5.s4	a6.s4	a7.s3	a8.s4	a9.sx	a10.s4	3388241120	It seems precarious business to take time to describe Grandpa and Grandma Deal, when a <band> of disgruntled Indians is reported on its way down the Shell Rock, but, pending its arrival, one ought to know a little of Gideon Deal and his wife.
band-n	band-n of ...	brother-n	band of brothers	a1.s4	a2.s4	a3.s4	a4.s8	a5.s4	a6.s4	a7.s3	a8.sx	a9.s1	a10.s4	2785925669	It all started with a small <band> of clown brothers in the first Macy's Parade in 1924, but the clowns have grown so popular that now hundreds of clowntastic volunteers keep the crowds cheering every year.
