head	rel	col	lcm	sense1	sense2	sense3	sense4	sense5	pos	text
bašta-n	bašta-n and/or ...	brána-n	branami a baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	6143267326	1.den: Odjezd brzy ráno přes Brno, ČERVENÁ LHOTA (renesanční zámek, původní gotická vodní tvrz, prohlídka), JINDŘICHŮVHRADEC (městská památková rezervace, hrad - v minulosti sídlo jednoho z nejvýznamnějších českých šlechtických rodů Vítkovců), TŘEBOŇ (centrum rybníkářství, starobylé město s dochovaným opevněním, původními branami a <baštami>, řada dochovaných gotických a renesančních domů).
bašta-n	bašta-n and/or ...	hradba-n	hradeb a bašt	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	1872573122	Domažlice nepatří k těm městům, které návštěvníky upoutají dobře dochovanými městskými hradbami a <baštami>, ty zde bohužel byly zbořeny již na přelomu 18. a 19. století.
bašta-n	bašta-n and/or ...	hradební-j	bašty a hradební zdi	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	10769325190	Ve 2. polovině 17. století byly kvůli tureckému nebezpečí zřízeny nové <bašty> a hradební okruh.
bašta-n	bašta-n and/or ...	opevnění-n	bašty a opevnění	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	2007507735	Terasovité stupně, směřující k městečku byly v minulosti přeměněny na zemní opevnění a <bašty>.
bašta-n	bašta-n and/or ...	příkop-n	baštami a příkopy	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	6261846983	Ve většině z nich se dochovaly barokní domy; <bašty> a příkopy zanikly a na jejich místě dnes fungují veřejné zahrady.
bašta-n	bašta-n and/or ...	střílna-n	baštami a střílnami .	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	4428519421	Z původního hradu se dochovaly až 2 metry silné obvodové zdi s dělovými <baštami> a střílnami, ale také početná část zdí vnitřních, včetně polozasypaných sklepů a předhradí.
bašta-n	bašta-n and/or ...	věž-n	věží a bašt	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	7756541854	Paprocký ve svých pověstech praví, že kapli rotundovitou na Hradešíně postavili již roku 905, a pana historika Vocela rotunda svedla k tomu, že ji za zbytkovou hradní <baštu> nebo věž z 11. století pokládal.
bašta-n	bašta-n and/or ...	zeď-n	zdmi a baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	4872742998	Barevné romantické domky pod kamennými zdmi a <baštami> opevnění nemají chybu a jsou námětem mnoha našich fotografií.
bašta-n	bašta-n na ...	hráz-n	rybářské bašty na hrázi	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	8799912230	Akce s bohatým doprovodným programem (prodej ryb, rybí speciality, občerstvení, ukázky živých ryb, doprovodný program pro děti i dospělé, expozice o rybářství a regionu v historické Rybářské <baště> na hrázi).
bašta-n	bašta-n na ...	nároží-n	baštami na nárožích	a1.sx	a2.s2	a3.s3	a4.s1	a5.s2	4783895552	Hrad získal trojúhelníkový půdorys s polookrouhlými <baštami> na nárožích.
bašta-n	bašta-n of ...	Bengháze-n	v povstalecké baště Benghází	a1.sx	a2.sx	a3.s1	a4.s1	a5.s3	2301629105	V povstalecké <baště> Benghází vyslanec ruského prezidenta Michail Markelov řekl, že je Moskva připravena zprostředkovat jednání mezi povstalci a libyjskou vládou.
bašta-n	bašta-n of ...	Doněck-n	povstalecké bašty Doněcka	a1.sx	a2.sx	a3.s1	a4.s1	a5.s1	2039943268	Kosťantynivka leží zhruba 45 kilometrů od hlavní povstalecké <bašty> Doněcku.
bašta-n	bašta-n of ...	Hizballáh-n	baštou Hizballáhu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	1335653364	Izraelští vojáci v úterý podle sdělení izraelského rozhlasu dobyli na jihu Libanonu město Bint Džbajl, které bylo <baštou> Hizballáhu.
bašta-n	bašta-n of ...	Kaddáfí-n	baštu Kaddáfího	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	12195099276	Toto město patřilo k jedněm z hlavních <bašt> Kaddáfího odpůrců, vládní jednotky ho dobyly 12. března.
bašta-n	bašta-n of ...	Parrakh-n	na baštu Parrakhu .	a1.s1	a2.s2	a3.sx	a4.s1	a5.s2	3208327409	Kvůli z <bašty> Parrakhu vycházející hrozbě letěl Lotho Keraete společně s Perry Rhodanem a Atlanem da Gonozal na palubě stříbrokoule do Hvězdného oceánu Jamondi.
bašta-n	bašta-n of ...	Taliban-n	baštou Talibanu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	9710373684	Pád Kunduzu, poslední <bašty> Talibanu na severu země, umožní Severní alianci a americkému letectvu soustředit své síly na útoky v oblasti jihoafghánského Kandaháru, který je tradičním centrem Talibanu.
bašta-n	bašta-n of ...	demokrat-n	baštou demokratů	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	12176516687	I v letech republikánské nadvlády však Jih vždy volil demokraty – především státy tzv. hlubokého Jihu (Jižní Karolína, Georgia, Alabama, Mississippi a Louisiana – někdy se k němu počítají i Florida a Texas) ještě po celou první půli 20. století tvořily <baštu> demokratů.
bašta-n	bašta-n of ...	džihádista-n	baštou džihádistů	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	405761041	Jejich letouny v pondělí udeřily na libyjskou <baštu> džihádistů - pobřežní město Syrta.
bašta-n	bašta-n of ...	extremista-n	baštou extremistů	a1.s1	a2.s1	a3.sx	a4.s1	a5.s1	4494375452	K atentátu došlo blízko kmenových území Jižní a Severní Vazíristán, které jsou <baštou> extremistů.
bašta-n	bašta-n of ...	husita-n	baštou husitů .	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	2208841102	Přičiněním tohoto šlechtického rodu, byla ves Borotín - z mohutným a opevněným hradem - od roku 1422 <baštou> husitů.
bašta-n	bašta-n of ...	husitství-n	jednou z bašt husitství na jihozápadní Moravě	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	3104027823	Počátkem 20. let 15. století se Jevišovice staly jednou z <bašt> husitství na jihozápadní Moravě.
bašta-n	bašta-n of ...	házená-n	bašty házené	a1.sx	a2.sx	a3.s1	a4.s1	a5.s1	12315663089	Prešov sice před několika lety patřil k <baštám> házené, ale dnes je to zcela jiný celek a i přes to, že v jeho středu hraje několik zkušených hráčů, bude muset přidat na kvalitě.
bašta-n	bašta-n of ...	islamista-n	bašty islamistů	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	805799484	Pod pseudonymem Sophie Kasiki vypráví ten svůj žena, které se podařilo uprchnout z <bašty> islamistů v syrském městě Rakká.
bašta-n	bašta-n of ...	katolicismus-n	baštou katolicismu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	1414535542	Papež z počátku vypadal celkem bezzubě, nevycházelo mu pálení knih, protestant mu pod okny vesele překládal bible, konvertoval <bašty> katolicismu a začal spřádat plány na vojenské tažení, jak se blížilo vyhlášení Schmalklandské ligy.
bašta-n	bašta-n of ...	komunismus-n	bašt komunismu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	11153753880	Ve městě, které bylo <baštou> komunismu, Turkem podurčenějším víc než Turek.
bašta-n	bašta-n of ...	konzervatismus-n	baštou konzervatismu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	3962514262	Protože se kolínská universita díky přehnanému katolictví města stala <baštou> konzervatismu, byla po roce 1794 francouzskými revolučními jednotkami zrušena a na svou obnovu si musela počkat až do roku 1919.
bašta-n	bašta-n of ...	levice-n	baštou levice	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	952122436	Moravskoslezský kraj s průmyslovou Ostravou a Karvinou býval přitom <baštou> levice v čele se sociální demokracií - před čtyřmi lety ji volilo 26,38 % lidí a dalších 17,53 procent preferovalo komunisty.
bašta-n	bašta-n of ...	liberalismus-n	bašta liberalismu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	696366813	V rámci tohoto poněkud bizarního čtení se čtenář mimo jiné dozví, že Tusk k vytváření energetické politiky využíval tajné služby a že jeho vláda, vydávaná za <baštu> liberalismu stojící proti zpátečnickému, etatistickému PiS, má v plánu zřídit státní síť obchodů s uhlím.
bašta-n	bašta-n of ...	odpor-n	baštou odporu	a1.s1	a2.sx	a3.sx	a4.s1	a5.s1	467944047	Církve -- a zejména ta římskokatolická -- byly zároveň oběťmi komunistického teroru a zároveň představovaly <baštu> odporu a vzdoru proti této tyranii.
bašta-n	bašta-n of ...	opevnění-n	bašty městského opevnění	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	9079054386	Znovu celní formality, přechod na břeh a nedaleko od nás se zdvihají nádherné věže kostelů a <bašty> opevnění města.
bašta-n	bašta-n of ...	opozice-n	baštou opozice	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	12356659609	Bývalý libyjský ministr spravedlnosti Mustafá Muhammad Abbúd Džalíl vedle toho údajně buduje přechodnou vládu v <baště> opozice Benghází na východě země.
bašta-n	bašta-n of ...	ozbrojenec-n	baštou ozbrojenců	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	12415621388	Během druhého dne své návštěvy se americký ministr přesunul do jižních provincií Hílmand a Kandahár, regionů považovaných za tradiční <baštu> ozbrojenců Talibanu.
bašta-n	bašta-n of ...	povstalec-n	baštou povstalců	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	293717974	5. července - Ukrajinské síly vyhnaly separatisty ze Slavjansku, hlavní <bašty> povstalců a symbolu jejich boje.
bašta-n	bašta-n of ...	pravice-n	baštou pravice	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	723178893	Praha je tradiční <baštou> pravice a liberálně orientovaných stran.
bašta-n	bašta-n of ...	protestantismus-n	baštou protestantismu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	5848920270	Přesto se "Drežďany", jak zní slovanský název pro město "lidí původem z bažin a lesů", staly významným městem až na počátku 16. století, jako <bašta> protestantismu v tehdejší Svaté říši římské národa německého.
bašta-n	bašta-n of ...	radikál-n	baštou radikálů	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	9260372643	Ofenzivu na <baštu> radikálů z Islámského státu zahájila irácká armáda před sedmi týdny.
bašta-n	bašta-n of ...	rebel-n	bašty rebelů	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	1542328059	Souběžně také navštívil <baštu> rebelů Benghází čínský diplomat, který sídlí v Egyptě, aby zde mimo jiné jednal o možnostech humanitární pomoci.
bašta-n	bašta-n of ...	separatista-n	bašty proruských separatistů	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	420366273	Uvedla v ní, že malajsijský boeing sestřelila protiletadlová raketa Buk, která k východoukrajinskému městu Snižne dorazila z Doněcka, hlavní <bašty> proruských separatistů.
bašta-n	bašta-n of ...	stalinismus-n	bašty stalinismu	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	6758051941	Zaorálek je nejvyšším českým činitelem, který jednu z posledních <bašt> stalinismu navštívil.
bašta-n	bašta-n of ...	stoupenec-n	baštou stoupenců	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	11987281056	Moskva - V libyjských městech, která bývala <baštou> stoupenců svrženého vůdce Muammara Kaddáfího, dochází nyní ke strašlivým násilnostem , o nichž nikdo nemluví.
bašta-n	bašta-n of ...	terorista-n	baštu teroristů	a1.s1	a2.s1	a3.s1	a4.s1	a5.s1	1596327379	Syrská armáda osvobozuje <baštu> teroristů v Latakíji. 103. brigáda Syrské armády a její spojenci dosáhli plné kontroly nad obcemi Al-Raudá, Dervišan a Turus v Turkmenských horách (Džebel al-Turkmen).
bašta-n	bašta-n of ...	vzbouřenec-n	baštu vzbouřenců	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	12022184864	Kaddáfí ve čtvrtek večer v rozhlasovém projevu oznámil, že v noci na dnešek začne útok na <baštu> vzbouřenců Benghází.
bašta-n	bašta-n s ...	střílna-n	bašta se střílnami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	5665190985	Došlo k zvětšení hlavního příkopu na jižní straně a bylo postaveno šest obdélníkových <bašt> se střílnami.
bašta-n	bašta-n s ...	vyhlídka-n	hrad , Rybářská bašta s krásnou vyhlídkou na město ,	a1.s2	a2.s2	a3.s2	a4.s1	a5.s2	176130639	Kolem poledne příjezd do Budapešti, následuje prohlídka města (Budínský hrad, Rybářská <bašta> s vyhlídkou na město, chrám sv. Matyáše, královský palác, řetězový most, budova parlamentu a další).
bašta-n	bašta-n u ...	brána-n	baštami u bran	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	5852176379	Parkán mezi nárožní baštou a <baštou> u brány zaujaly hospodářské stavby, sýpka, špýchar.
bašta-n	bašta-n u ...	rybník-n	baště u rybníka	a1.s2	a2.s2	a3.s2	a4.s2	a5.s2	5587540118	Brňáci dojeli , dešti ujeli Oběd na <Baště> u rybníka byl nejlepší gastronomický zážitek za celý víkend.
bašta-n	bašta-n v ...	Průhonice-n	Hliněná bašta v Průhonicích	a1.sx	a2.s2	a3.sx	a4.sx	a5.s2	6947499063	Jako každý rok mohou speciality z mléčných kůzlat a jehňat ochutnat návštěvníci Hliněné <bašty> v Průhonicích.
bašta-n	bašta-n v ...	nároží-n	baštami v nárožích	a1.sx	a2.s2	a3.s3	a4.s1	a5.s2	122238692	Okolo nádvoří se zachovala část hradby se šestibokou <baštou> v nároží.[2]
bašta-n	modifiers of "bašta-n"	Habrovický-j	Penzion Habrovická Bašta	a1.sx	a2.sx	a3.sx	a4.sx	a5.sx	5439115273	Penzion Habrovická Bašta v Ústí nad Labem ubytování služby:Penzion Habrovická <Bašta> v Ústí nad Labem nabízí tyto služby: penzion je svou polohou vhodný pro rodinné oslavy, firemní akce, promoce, třídní srazy, večírky a školení.
bašta-n	modifiers of "bašta-n"	Holubovský-j	Holubovská Bašta	a1.sx	a2.s2	a3.sx	a4.s1	a5.s2	5417708032	Holubovská <Bašta>; k. ú.
bašta-n	modifiers of "bašta-n"	Otakarův-j	Otakarova bašta	a1.s2	a2.s2	a3.sx	a4.s1	a5.s2	973676102	Z toho vyplývá, že Čáslavi naprosto chybí zřetelně označená historická stezka, zahrnující hradby, chrám sv. Petra a Pavla, lebku J.Žižky, ukázku katakomb, Otakarovu <baštu>, prodej knihy J.Karafiáta Broučci ve světových jazycích, představení města ve filmu v infocentru – Forman, Chitussi, Quis, Dusík, Těsnohlídek a další naprosto mimořádné osobnosti našeho kraje.
bašta-n	modifiers of "bašta-n"	Predný-j	Predná Bašta	a1.sx	a2.sx	a3.sx	a4.sx	a5.s2	854652738	Kousek nad nimi se otevírá výhled napravo na skalnaté srázy Ostrvé, zatímco vlevo je to Patria a Predná <bašta>.
bašta-n	modifiers of "bašta-n"	dobytný-j	nedobytnou baštou	a1.s3	a2.s2	a3.s3	a4.s1	a5.s1	1182719174	Celkově můžeme říci, že hry jsou pro AMD nedobytnou <baštou>.
bašta-n	modifiers of "bašta-n"	dělostřelecký-j	dělostřelecká bašta	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	7833569652	Turisté tak mohou nově vystoupit na oválnou dělostřeleckou <baštu> s vyhlídkovou plošinou a prozkoumat hradební sklepení.
bašta-n	modifiers of "bašta-n"	dělový-j	dělové bašty	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	2456939317	Pochod lze spojit s prohlídkou hradu Okoře či s posezením v restauraci "Dělová <bašta>" pod hradem.
bašta-n	modifiers of "bašta-n"	hliněný-j	Hliněná bašta	a1.s3	a2.s2	a3.sx	a4.s1	a5.s2	2649589222	Podzim v Hliněné <baště> se bude již tradičně odehrává ve znamení zvěřiny.
bašta-n	modifiers of "bašta-n"	hradební-j	hradební bašty	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	114823506	Svou dílnu měl zřejmě v hradební <baště> na okraji Litoměřic.
bašta-n	modifiers of "bašta-n"	hradní-j	Hradní Bašta	a1.s3	a2.sx	a3.sx	a4.s1	a5.s2	2029901073	5. den zájezdu Rovinatá střední Albánie, LEZHE, zde je pohřben albánský národní hrdina Skanderbeg, KRUJË, zde navštívíme jeho hradní <baštu>, DRAČ (Durres), městské hradby z dob byzantské říše a monumentální amfiteátr z 2. st. n. l. Odpoledne navštívíme BERAT, nejstarší a nejkrásnější albánské město, byzantsko-slovanská citadela, mešity a kostely v dolním městě, nocleh.
bašta-n	modifiers of "bašta-n"	hranolový-j	hranolovými baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	3980060568	* Nepozoruhodnější úsek hradeb se nachází za budovou Střední uměleckoprůmyslové školy (Husova 10), kde dosahuje výšky až 10 m, zhruba uprostřed tohoto úseku vystupuje ze zdi mohutný fragment hranolové <bašty>.
bašta-n	modifiers of "bašta-n"	husitský-j	Husitská bašta	a1.s1	a2.sx	a3.sx	a4.s1	a5.s2	3971544374	Od něj jsme sešli kolem kostela Nanebevzetí P. Marie a Husitské <Bašty> dolu k mostu přes Mži a k hotelu (celkem jsme ušli 2 km).
bašta-n	modifiers of "bašta-n"	nárožní-j	nárožními baštami	a1.sx	a2.sx	a3.s3	a4.s1	a5.s2	1380645538	Dále se dochovala originální branka se stopami po padacím mostě přes příkop severně od nárožní jihovýchodní <bašty> a dolní části střílen (která je někdy mylně považována za cimbuří).
bašta-n	modifiers of "bašta-n"	okrouhlý-j	okrouhlá bašta	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	7546853175	Hradby nemají již nahoře střílen, poněvadž ta čásť, kde byly, spadla (při zemi jsou střílny, poněvadž jest uvnitř tvrze půda vyšší než venku), ale dobře viděti lze, jak šla chodba od věže pravé po zdi (neb posud jsou otvory a v některých i kusy trámův) až k okrouhlé <baště>, která byla v rohu.
bašta-n	modifiers of "bašta-n"	pivovarský-j	Pivovarská bašta	a1.s2	a2.s2	a3.sx	a4.s1	a5.sx	6059262020	Připravujemu kupříkladu pivovarský tokáň, roštěnky marinované v démonu, krkovice v majdě z pivního sýru, kuřecí prsíčka v medovém pivu a česneku, prasátkova kolínka na pivu, dietní žebírka na granátovém pivu, sladovnický gulášek, pivovarská <bašta>, pačesovo vuřty na pivu, loštické tvargle v pivním těstíčku s čerstvou cibulkou a další pivní vychytávky.
bašta-n	modifiers of "bašta-n"	podkovovitý-j	podkovovitá bašta	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	6272025434	C001-36jižní stěna východní podkovovité <bašty> vnějšího hradebního okruhu
bašta-n	modifiers of "bašta-n"	polokruhový-j	polokruhovými baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	2338743062	Čelní strana nad příkopem byla souvisle zastavěna a v jižním nároží byla umístěna brána, ke které přiléhala polokruhová dělostřelecká <bašta> z jedné strany a z druhé strany velká obytná budova.
bašta-n	modifiers of "bašta-n"	polookrouhlý-j	polookrouhlá bašta	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	5998673425	Pozůstatkem zlepšování obranyschopnosti ve 2. pol. 15. stol. je část vnějšího ohrazení s polookrouhlou <baštou> při paláci.
bašta-n	modifiers of "bašta-n"	polygonální-j	polygonální bašta	a1.s3	a2.sx	a3.s3	a4.s1	a5.s2	4241406660	V 16. století hrad renesančně upraven a mohutně opevněn (polygonální dělová <bašta> , opevnění zvané Kočičí hlava, barbakán s dnešní první branou).
bašta-n	modifiers of "bašta-n"	povstalecký-j	povstalecké bašty	a1.s1	a2.sx	a3.s1	a4.s1	a5.s1	557209848	Mluvčí ukrajinské "protiteroristické operace", jak vládní strana označuje vojenské tažení proti povstalcům, Vladislav Selezňov se podle agentury omezil na sdělení, že operace je "v aktivní fázi", ale odmítl komentovat zprávy, že jednotky vstoupily do povstalecké <bašty> Doněcka.
bašta-n	modifiers of "bašta-n"	pětiboký-j	pětibokými baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	8709504425	Přistoupilo se i ke zdokonalení hradeb s barokními pětibokými <baštami>.
bašta-n	modifiers of "bašta-n"	předsunutý-j	předsunutá bašta	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	5402224561	Dokonce je možné, že Rusko považovalo Ukrajinu za svůj loutkový stát, předsunutou <baštu> vůči Evropské unii, a nyní muselo rezignovat a Ukrajinu oželet.
bašta-n	modifiers of "bašta-n"	půlkruhový-j	půlkruhovými baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	3914572554	Barokní plán kostela z doby před radikální přestavbou, který zachytil i ohradní zeď hřbitova s půlkruhovými <baštami>, publikoval Ryšavý (1997a, s. 130).
bašta-n	modifiers of "bašta-n"	půlválcův-j	19 půlválcovými baštami	a1.s3	a2.s2	a3.s3	a4.s1	a5.s2	496963364	Celý hradební okruh dlouhý 1220 m byl zesílen 19 půlválcovými <baštami> s věžemi o celkové výšce až 22 m.
bašta-n	modifiers of "bašta-n"	rožmberský-j	Rožmberská bašta	a1.sx	a2.s2	a3.sx	a4.s2	a5.s2	5111956599	[B]Dobrý den, [/B] chtěl bych se vyjádřit ke zmíněnému problému, který údajně nastal na Rožmberské <baště> v Třeboni.
bašta-n	modifiers of "bašta-n"	rybářský-j	Rybářská bašta	a1.s2	a2.s2	a3.sx	a4.s2	a5.s2	535638624	Budeme jednat o případném pronájmu rybářské <bašty> na výstavišti," sdělil v nedávném rozhovoru primátor Jiří Svoboda.
